Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
10236469380,"Nov 17, 2023, 10:56:10 PM",Morning Run,Run,"",1377,3.06,,,false,,Nike Pegasus 40,activities/10961809296.gpx.gz,,,1377.0,1323.0,3062.2,3.632,2.315,0.0,0.0,10.4,10.9,1.9,0.0,,,86.0,77.0,,,,,234.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,3063.2,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.224,0.0,,,,,,,,,,,,,,,,,,,""
10243018690,"Nov 19, 2023, 3:27:45 AM",Lunch Run,Run,"",1515,2.93,162.0,15,false,,Nike Pegasus 40,activities/10968622754.tcx.gz,,,1515.0,1492.0,2929.7,3.089,1.964,0.0,0.0,10.3,10.9,2.0,0.0,,,84.0,72.0,,136.0,,,208.0,,,15.0,,,,,,,,,,,0.0,,0.0,,1.0,2930.8,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,1.934,0.0,,,,,,,,,,,,,,,,,,,""
10253549386,"Nov 20, 2023, 9:20:23 PM",Morning Run,Run,"",1681,3.08,149.0,10,false,,Nike Pegasus 40,activities/10979599335.tcx.gz,,,1681.0,1652.0,3086.4,2.903,1.868,59.3,62.2,12.8,19.6,19.6,-0.1,,,83.0,73.0,,134.0,,,221.0,,,10.0,,,,,,,,,,,0.0,,0.0,,1.0,3319.3,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,1.836,0.0,,,,,,,,,,,,,,,,,,,""
10265065332,"Nov 22, 2023, 9:12:03 PM",Morning Run,Run,"",1353,2.43,163.0,19,false,,Nike Pegasus 40,activities/10991540814.tcx.gz,,,1353.0,1292.0,2435.7,3.339,1.885,44.6,44.6,8.1,21.4,19.5,0.0,,,86.0,75.0,,143.0,,,177.0,,,19.0,,,,,,,,,,,0.0,,0.0,,1.0,2608.2,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,1.8,0.0,,,,,,,,,,,,,,,,,,,""
10282405325,"Nov 26, 2023, 5:41:40 AM",Afternoon Run,Run,"",1670,3.53,171.0,26,false,,Nike Pegasus 40,activities/11009614895.tcx.gz,,,1670.0,1646.0,3532.5,8.244,2.146,2.7,2.7,10.4,13.3,7.8,0.0,,,84.0,76.0,,145.0,,,255.0,,,26.0,,,,,,,,,,,0.0,,0.0,,1.0,3536.9,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.115,0.0,,,,,,,,,,,,,,,,,,,""
10291973710,"Nov 27, 2023, 9:06:45 PM",Morning Run,Run,"",1559,2.91,158.0,26,false,,Nike Pegasus 40,activities/11019551243.tcx.gz,,,1559.0,1424.0,2910.0,7.375,2.044,52.7,49.4,12.7,19.5,20.5,0.2,,,86.0,77.0,,147.0,,,228.0,,,26.0,,,,,,,,,,,0.0,,0.0,,1.0,3147.1,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,1.867,0.0,,,,,,,,,,,,,,,,,,,""
10303350783,"Nov 29, 2023, 9:50:57 PM",Morning Run,Run,"",1672,3.12,158.0,23,false,,Nike Pegasus 40,activities/11031318677.tcx.gz,,,1672.0,1574.0,3124.7,3.267,1.985,2.7,2.9,10.4,13.6,7.7,0.0,,,85.0,76.0,,143.0,,,241.0,,,23.0,,,,,,,,,,,0.0,,0.0,,1.0,3129.7,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,1.869,0.0,,,,,,,,,,,,,,,,,,,""
10314135616,"Dec 2, 2023, 3:53:15 AM",Lunch Run,Run,"",2418,5.07,161.0,54,false,,Nike Pegasus 40,activities/11042500271.tcx.gz,,,2418.0,2410.0,5070.5,3.387,2.104,0.0,0.0,12.2,13.9,2.3,0.0,,,86.0,83.0,,149.0,,,387.0,,,54.0,,,,,,,,,,,0.0,,0.0,,1.0,5074.7,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.097,0.0,,,,,,,,,,,,,,,,,,,""
10319316516,"Dec 3, 2023, 1:24:29 AM",Morning Run,Run,"",1378,2.87,163.0,25,false,,Nike Pegasus 40,activities/11047871201.tcx.gz,,,1378.0,1355.0,2869.3,3.244,2.118,0.0,0.0,11.4,13.3,8.1,0.0,,,86.0,81.0,,147.0,,,211.0,,,25.0,,,,,,,,,,,0.0,,0.0,,1.0,2874.4,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.082,0.0,,,,,,,,,,,,,,,,,,,""
10329091237,"Dec 4, 2023, 9:39:27 PM",Morning Run,Run,"",1494,2.55,159.0,24,false,,Nike Pegasus 40,activities/11058064713.tcx.gz,,,1494.0,1316.0,2556.0,5.883,1.942,3.8,0.0,10.0,13.9,4.4,0.1,,,84.0,78.0,,145.0,,,216.0,,,24.0,,,,,,,,,,,0.0,,0.0,,1.0,2563.7,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,1.711,0.0,,,,,,,,,,,,,,,,,,,""
